label,pred
31,31
21,21
23,24
10,20
7,22
33,33
34,37
8,46
47,37
35,36
25,25
9,20
42,41
17,20
15,20
22,20
10,32
11,20
34,21
21,21
19,19
8,47
30,30
44,24
24,24
35,40
2,2
2,2
10,32
6,3
20,20
2,3
14,47
44,24
23,20
14,20
42,39
37,37
10,47
14,18
4,4
9,7
41,41
6,22
25,25
41,41
21,47
29,1
27,27
37,37
17,20
14,18
47,47
1,1
4,4
38,40
28,10
5,4
8,20
11,47
13,20
28,10
9,20
30,30
33,33
34,25
29,29
8,20
47,37
18,18
46,1
46,24
15,12
22,22
31,26
40,40
18,18
43,39
14,20
49,30
19,24
18,18
21,21
2,3
17,20
34,37
16,22
8,20
47,37
34,40
22,22
21,21
6,22
12,12
45,1
29,29
46,1
47,37
